,shcode,shname,target_m,date,close_ratio,min_target,max_target,close,spot_range,check,inrange,squeezed,volume_default
16,002320,한진,201904,20190430,0.0563204005006257,38700,41500,42200,1.25,False,False,False,False
17,002320,한진,201904,20190502,0.0,38700,41500,42200,1.25,False,False,True,False
18,002320,한진,201904,20190503,0.035545023696682554,38700,41500,43700,1.7857142857142858,False,False,False,False
1,002360,SH에너지화학,201909,20190917,-0.05555555555555558,1300,1260,1190,2.75,False,False,False,False
2,002360,SH에너지화학,201909,20190918,-0.0672268907563025,1300,1260,1110,4.75,False,False,True,False
3,002360,SH에너지화학,201909,20190919,0.0045045045045044585,1300,1260,1115,4.625,False,False,True,False
4,002360,SH에너지화학,201909,20190920,0.0,1300,1260,1115,4.625,False,False,True,False
5,002360,SH에너지화학,201909,20190923,0.0,1300,1260,1115,4.625,False,False,True,False
6,002360,SH에너지화학,201909,20190924,0.004484304932735439,1300,1260,1120,4.5,False,False,False,False
7,002360,SH에너지화학,201909,20190925,-0.03125,1300,1260,1085,5.375,False,False,True,False
8,002360,SH에너지화학,201909,20190926,-0.004608294930875556,1300,1260,1080,5.5,False,False,True,True
9,002360,SH에너지화학,201909,20190927,0.0,1300,1260,1080,5.5,False,False,True,True
1,002450,삼익악기,201908,20190808,-0.06443298969072164,1565,1940,1815,0.6666666666666666,False,True,False,False
2,002450,삼익악기,201908,20190809,0.0440771349862259,1565,1940,1895,0.88,False,True,False,False
3,002450,삼익악기,201908,20190812,0.029023746701847042,1565,1940,1950,1.0266666666666666,False,False,False,False
4,002450,삼익악기,201908,20190813,-0.028205128205128216,1565,1940,1895,0.88,False,True,True,False
5,002450,삼익악기,201908,20190814,0.0,1565,1940,1895,0.88,False,True,True,False
6,002450,삼익악기,201908,20190816,-0.06860158311345643,1565,1940,1765,0.5333333333333333,False,True,False,False
7,002450,삼익악기,201908,20190819,0.019830028328611915,1565,1940,1800,0.6266666666666667,False,True,True,False
8,002450,삼익악기,201908,20190820,0.002777777777777768,1565,1940,1805,0.64,True,True,True,True
9,002450,삼익악기,201908,20190821,-0.0027700831024930483,1565,1940,1800,0.6266666666666667,True,True,True,True
10,002450,삼익악기,201908,20190822,0.008333333333333304,1565,1940,1815,0.6666666666666666,True,True,True,True
11,002450,삼익악기,201908,20190823,0.0027548209366390353,1565,1940,1820,0.68,False,True,True,False
12,002450,삼익악기,201908,20190826,-0.013736263736263687,1565,1940,1795,0.6133333333333333,False,True,True,False
13,002450,삼익악기,201908,20190827,-0.00835654596100277,1565,1940,1780,0.5733333333333334,False,True,True,False
14,002450,삼익악기,201908,20190828,-0.014044943820224698,1565,1940,1755,0.5066666666666667,False,True,True,False
15,002450,삼익악기,201908,20190829,-0.01139601139601143,1565,1940,1735,0.4533333333333333,True,True,True,True
16,002450,삼익악기,201908,20190830,0.014409221902017322,1565,1940,1760,0.52,True,True,True,True
17,002450,삼익악기,201908,20190902,0.011363636363636465,1565,1940,1780,0.5733333333333334,True,True,True,True
18,002450,삼익악기,201908,20190903,-0.002808988764044895,1565,1940,1775,0.56,True,True,True,True
19,002450,삼익악기,201908,20190904,0.008450704225352101,1565,1940,1790,0.6,True,True,True,True
1,002700,신일산업,201905,20190521,-0.042704626334519546,2375,2810,2690,0.7241379310344828,False,True,False,False
2,002700,신일산업,201905,20190522,0.0074349442379182396,2375,2810,2710,0.7701149425287356,False,True,True,False
3,002700,신일산업,201905,20190523,0.01845018450184499,2375,2810,2760,0.8850574712643678,False,True,True,False
4,002700,신일산업,201905,20190524,-0.09239130434782605,2375,2810,2505,0.2988505747126437,False,True,False,False
5,002700,신일산업,201905,20190527,-0.005988023952095856,2375,2810,2490,0.26436781609195403,False,True,True,False
6,002700,신일산업,201905,20190528,0.028112449799196693,2375,2810,2560,0.42528735632183906,False,True,True,False
7,002700,신일산업,201905,20190529,-0.05078125,2375,2810,2430,0.12643678160919541,False,True,False,False
8,002700,신일산업,201905,20190530,0.008230452674897082,2375,2810,2450,0.1724137931034483,False,True,True,False
9,002700,신일산업,201905,20190531,-0.014285714285714235,2375,2810,2415,0.09195402298850575,False,True,True,False
10,002700,신일산업,201905,20190603,0.006211180124223503,2375,2810,2430,0.12643678160919541,False,True,True,False
11,002700,신일산업,201905,20190604,0.002057613168724215,2375,2810,2435,0.13793103448275862,False,True,True,False
12,002700,신일산업,201905,20190605,0.0,2375,2810,2435,0.13793103448275862,False,True,False,False
13,002700,신일산업,201905,20190607,0.03696098562628336,2375,2810,2525,0.3448275862068966,False,True,True,False
14,002700,신일산업,201905,20190610,0.025742574257425765,2375,2810,2590,0.4942528735632184,False,True,True,False
15,002700,신일산업,201905,20190611,-0.019305019305019266,2375,2810,2540,0.3793103448275862,False,True,True,False
16,002700,신일산업,201905,20190612,-0.055118110236220486,2375,2810,2400,0.05747126436781609,False,True,False,False
17,002700,신일산업,201905,20190613,0.008333333333333304,2375,2810,2420,0.10344827586206896,False,True,True,False
18,002700,신일산업,201905,20190614,-0.07024793388429751,2375,2810,2250,-0.28735632183908044,False,False,False,False
19,002700,신일산업,201905,20190617,0.015555555555555545,2375,2810,2285,-0.20689655172413793,False,False,True,False
1,002720,국제약품,201903,20190328,-0.02409638554216864,4470,5810,5670,0.8955223880597015,False,True,False,False
2,002720,국제약품,201903,20190329,-0.04409171075837748,4470,5810,5420,0.7089552238805971,False,True,False,False
3,002720,국제약품,201903,20190401,0.007380073800737907,4470,5810,5460,0.7388059701492538,False,True,True,False
4,002720,국제약품,201903,20190402,-0.0073260073260073,4470,5810,5420,0.7089552238805971,False,True,True,False
