,date,open_,low,high,close,volume,range_position,shcode,month_ma5_score,week_ma5_score,week_ma20_score,week_golden_cross,week_dead_cross,week_up,week_down
8,20190926,11300,10400,12200,10500,9425869,0.05555555555555555,006090,0.0,0.7,0.0,1,0,1,4
7,20191127,25100,24450,32550,32550,2429595,1.0,006120,0.0,0.8500000000000001,0.0,0,0,0,5
7,20191127,16750,15950,21750,21750,1264361,1.0,006125,0.15,0.7,0.0,0,0,0,5
8,20191031,121000,121000,129500,128500,190015,0.8823529411764706,006280,0.0,0.7,0.0,1,0,2,3
6,20190110,1870,1850,2080,1935,15323127,0.3695652173913043,006340,0.0,0.8,0.15,0,0,0,5
7,20190130,49450,49100,57200,52900,638502,0.4691358024691358,006390,0.3,0.7,0.0,0,0,0,5
6,20190110,5400,5340,6530,5850,14297017,0.42857142857142855,006490,0.15,0.0,0.0,0,0,0,5
6,20190701,2830,2795,3345,3170,7296127,0.6818181818181818,006490,0.0,0.0,0.0,0,0,0,5
8,20191107,2900,2850,3755,3755,34269528,1.0,006490,0.0,0.7,0.0,1,0,5,0
8,20191108,3705,3600,4670,4120,77537271,0.48598130841121495,006490,0.0,0.7,0.0,1,0,5,0
8,20191107,33250,33100,42050,38000,711288,0.547486033519553,006840,0.0,0.3,0.0,0,0,0,5
8,20190627,4960,4930,6150,5670,5063421,0.6065573770491803,006880,0.7,0.7,1.0,0,0,5,0
6,20190702,5280,5280,6740,6120,8010843,0.5753424657534246,006880,0.8500000000000001,0.8,1.0,0,0,5,0
6,20190306,5630,5400,6670,5920,7512888,0.4094488188976378,006890,0.5,0.5,1.0,0,0,5,0
8,20190411,6300,6230,7200,6880,4161114,0.6701030927835051,006890,0.7,1.0,1.0,0,0,5,0
6,20190723,5430,5430,7090,6610,16648494,0.7108433734939759,006890,1.0,0.35,1.0,0,1,1,4
6,20190319,2580,2575,3340,3300,16303580,0.9477124183006536,006980,0.0,0.3,0.3,0,0,5,0
6,20190423,3380,3300,4195,4195,39881496,1.0,006980,0.3,0.7,1.0,0,0,5,0
4,20190916,3130,3125,3550,3330,6845963,0.4823529411764706,006980,1.0,0.7,0.7,0,0,0,5
4,20190917,4000,3730,4320,4320,19832285,1.0,006980,1.0,0.7,0.7,0,0,0,5
7,20190925,3790,3660,4495,4060,23730624,0.47904191616766467,006980,1.0,0.8500000000000001,0.8,0,0,0,5
8,20181207,1730,1730,2220,2200,23347534,0.9591836734693877,007110,0.3,0.0,0.0,0,0,0,5
8,20190131,2885,2705,3025,2830,39655541,0.390625,007110,0.44999999999999996,1.0,1.0,1,0,5,0
8,20190201,2830,2680,3295,3040,52203080,0.5853658536585366,007110,0.5,1.0,1.0,1,0,5,0
5,20190207,3095,3080,3890,3795,41984738,0.8827160493827161,007110,0.5,1.0,1.0,0,0,5,0
7,20190619,2750,2725,3235,3135,46306133,0.803921568627451,007110,0.7,0.5,0.44999999999999996,0,0,0,5
6,20190624,3300,3270,3600,3405,36230249,0.4090909090909091,007110,0.7,0.7,0.5,0,0,0,5
6,20190910,3040,3035,3430,3340,48583459,0.7721518987341772,007110,0.8500000000000001,0.5,1.0,0,0,5,0
7,20181219,2250,2250,2870,2720,8555938,0.7580645161290323,007210,0.0,0.0,0.0,0,0,0,5
6,20190910,1845,1825,2300,2115,31271319,0.6105263157894737,007210,0.15,0.0,0.0,0,0,0,5
7,20190308,2580,2580,3090,3000,44610428,0.8235294117647058,007460,0.0,0.0,0.0,0,0,0,5
8,20190404,2870,2845,3610,3610,59578697,1.0,007460,0.0,0.8500000000000001,0.0,0,0,0,5
8,20190405,3640,3550,4420,3955,83374834,0.46551724137931033,007460,0.0,0.8500000000000001,0.0,0,0,0,5
5,20190820,2060,2055,2415,2275,22347534,0.6111111111111112,007460,0.0,0.0,0.0,0,0,0,5
