,shcode,target_day,upcode,upname,tmcode,tmname,shname,target_m,next_target_day,shcode2,y,init_jupo,end_jupo,init_month,end_month,init_week,end_week,check_init_day2
120,002995,20191108,18.0,건   설  업,,,금호산업우,201911,20190111,003010,0,20181201,20191108,20181130,20191031,20190412,20191101,20191029
121,003010,20190111,16.0,유   통  업,378.0,건설기계,혜인,201901,20190117,003010,1,20180201,20190111,20180131,20181231,20180615,20190104,20190101
122,003010,20190117,16.0,유   통  업,378.0,건설기계,혜인,201901,20190522,003010,0,20180201,20190117,20180131,20181231,20180622,20190111,20190107
123,003010,20190522,16.0,유   통  업,378.0,건설기계,혜인,201905,20190404,003060,0,20180601,20190522,20180531,20190430,20181026,20190517,20190512
124,003060,20190404,9.0,의   약  품,377.0,치매 관련주,에이프로젠제약,201904,20191008,003060,0,20180501,20190404,20180430,20190331,20180907,20190329,20190325
125,003060,20191008,9.0,의   약  품,377.0,치매 관련주,에이프로젠제약,201910,20191010,003060,1,20181101,20191008,20181031,20190930,20190315,20191004,20190928
126,003060,20191010,9.0,의   약  품,377.0,치매 관련주,에이프로젠제약,201910,20191119,003060,0,20181101,20191010,20181031,20190930,20190315,20191004,20190930
127,003060,20191119,9.0,의   약  품,377.0,치매 관련주,에이프로젠제약,201911,20190429,003160,0,20181201,20191119,20181130,20191031,20190426,20191115,20191109
128,003160,20190429,14.0,의 료 정 밀,307.0,시스템반도체,디아이,201904,20190108,003230,0,20180501,20190429,20180430,20190331,20181005,20190426,20190419
129,003230,20190108,3.0,중   형  주,113.0,음식료업종,삼양식품,201901,20191115,003280,0,20180201,20190108,20180131,20181231,20180615,20190104,20181229
130,003280,20191115,19.0,운 수 창 고,36.0,해운,흥아해운,201911,20191118,003280,1,20181201,20191115,20181130,20191031,20190419,20191108,20191105
131,003280,20191118,19.0,운 수 창 고,36.0,해운,흥아해운,201911,20190812,003350,0,20181201,20191118,20181130,20191031,20190426,20191115,20191108
132,003350,20190812,8.0,화       학,110.0,화장품,한국화장품제조,201908,20190927,003350,0,20180901,20190812,20180831,20190731,20190118,20190809,20190802
133,003350,20190927,8.0,화       학,110.0,화장품,한국화장품제조,201909,20191129,003350,0,20181001,20190927,20180930,20190831,20190301,20190920,20190917
134,003350,20191129,8.0,화       학,110.0,화장품,한국화장품제조,201911,20190415,003490,0,20181201,20191129,20181130,20191031,20190503,20191122,20191119
135,003490,20190415,2.0,대   형  주,379.0,항공기부품,대한항공,201904,20190409,003495,0,20180501,20190415,20180430,20190331,20180921,20190412,20190405
136,003495,20190409,19.0,운 수 창 고,,,대한항공우,201904,20190410,003495,1,20180501,20190409,20180430,20190331,20180914,20190405,20190330
137,003495,20190410,19.0,운 수 창 고,,,대한항공우,201904,20190412,003495,1,20180501,20190410,20180430,20190331,20180914,20190405,20190331
138,003495,20190412,19.0,운 수 창 고,,,대한항공우,201904,20190131,003520,0,20180501,20190412,20180430,20190331,20180914,20190405,20190402
139,003520,20190131,3.0,중   형  주,389.0,면역항암제,영진약품,201901,20190422,003535,0,20180201,20190131,20180131,20181231,20180706,20190125,20190121
140,003535,20190422,24.0,증       권,,,한화투자증권우,201904,20190211,003560,0,20180501,20190422,20180430,20190331,20180928,20190419,20190412
141,003560,20190211,26.0,서 비 스 업,232.0,미디어(방송/신문),IHQ,201902,20191111,003560,0,20180301,20190211,20180228,20190131,20180720,20190208,20190201
142,003560,20191111,26.0,서 비 스 업,232.0,미디어(방송/신문),IHQ,201911,20191021,003580,0,20181201,20191111,20181130,20191031,20190419,20191108,20191101
143,003580,20191021,,,110.0,화장품,넥스트사이언스,201910,20191022,003580,1,20181101,20191021,20181031,20190930,20190329,20191018,20191011
144,003580,20191022,,,110.0,화장품,넥스트사이언스,201910,20191115,003580,1,20181101,20191022,20181031,20190930,20190329,20191018,20191012
145,003580,20191115,,,110.0,화장품,넥스트사이언스,201911,20190322,003850,0,20181201,20191115,20181130,20191031,20190419,20191108,20191105
146,003850,20190322,9.0,의   약  품,377.0,치매 관련주,보령제약,201903,20190612,004060,0,20180401,20190322,20180331,20190228,20180824,20190315,20190312
147,004060,20190612,16.0,유   통  업,32.0,패션/의류,SG세계물산,201906,20190613,004060,1,20180701,20190612,20180630,20190531,20181116,20190607,20190602
148,004060,20190613,16.0,유   통  업,32.0,패션/의류,SG세계물산,201906,20181218,004100,0,20180701,20190613,20180630,20190531,20181116,20190607,20190603
149,004100,20181218,15.0,운 수 장 비,27.0,자동차부품,태양금속,201812,20181219,004100,1,20180101,20181218,20171231,20181130,20180525,20181214,20181208
150,004100,20181219,15.0,운 수 장 비,27.0,자동차부품,태양금속,201812,20190111,004100,1,20180101,20181219,20171231,20181130,20180525,20181214,20181209
151,004100,20190111,15.0,운 수 장 비,27.0,자동차부품,태양금속,201901,20190115,004100,1,20180201,20190111,20180131,20181231,20180615,20190104,20190101
152,004100,20190115,15.0,운 수 장 비,27.0,자동차부품,태양금속,201901,20191106,004100,0,20180201,20190115,20180131,20181231,20180622,20190111,20190105
153,004100,20191106,15.0,운 수 장 비,27.0,자동차부품,태양금속,201911,20191203,004100,1,20181201,20191106,20181130,20191031,20190412,20191101,20191027
154,004100,20191203,15.0,운 수 장 비,27.0,자동차부품,태양금속,201912,20190211,004140,0,20190101,20191203,20181231,20191130,20190510,20191129,20191123
155,004140,20190211,19.0,운 수 창 고,141.0,종합물류관련주,동방,201902,20190416,004140,0,20180301,20190211,20180228,20190131,20180720,20190208,20190201
156,004140,20190416,19.0,운 수 창 고,141.0,종합물류관련주,동방,201904,20181204,004270,0,20180501,20190416,20180430,20190331,20180921,20190412,20190406
157,004270,20181204,16.0,유   통  업,,,남성,201812,20190507,004270,0,20180101,20181204,20171231,20181130,20180511,20181130,20181124
158,004270,20190507,16.0,유   통  업,,,남성,201905,20190514,004270,1,20180601,20190507,20180531,20190430,20181012,20190503,20190427
159,004270,20190514,16.0,유   통  업,,,남성,201905,20190515,004270,1,20180601,20190514,20180531,20190430,20181019,20190510,20190504
160,004270,20190515,16.0,유   통  업,,,남성,201905,20190624,004270,0,20180601,20190515,20180531,20190430,20181019,20190510,20190505
161,004270,20190624,16.0,유   통  업,,,남성,201906,20190812,004270,0,20180701,20190624,20180630,20190531,20181130,20190621,20190614
162,004270,20190812,16.0,유   통  업,,,남성,201908,20190827,004270,1,20180901,20190812,20180831,20190731,20190118,20190809,20190802
163,004270,20190827,16.0,유   통  업,,,남성,201908,20190411,004310,0,20180901,20190827,20180831,20190731,20190201,20190823,20190817
164,004310,20190411,9.0,의   약  품,377.0,치매 관련주,현대약품,201904,20190716,004310,0,20180501,20190411,20180430,20190331,20180914,20190405,20190401
165,004310,20190716,9.0,의   약  품,377.0,치매 관련주,현대약품,201907,20190821,004310,0,20180801,20190716,20180731,20190630,20181221,20190712,20190706
