,index,shcode,shname,target_day,date,open,high,low,close,volume,deal_f,burn_ratio,rotate_ratio,for_net_buy,com_net_buy,per_net_buy,ma5_score,ma20_score,ma5_20_score
17,9,002070,남영비비안,20190726,20180228,7380,7500,7050,7090,129,80.75,2.3,1.87,10676,-32651,22139,1.0,0.7,1.0
18,9,002070,남영비비안,20190726,20180330,7090,7520,6980,7210,118,84.45,2.55,1.72,4997,-13008,-2989,1.0,0.7,1.0
19,9,002070,남영비비안,20190726,20180430,7210,7400,7130,7320,78,95.65,2.68,1.13,9363,-25944,16039,1.0,0.7,1.0
20,9,002070,남영비비안,20190726,20180531,7320,8700,7290,7850,160,112.7,2.81,2.33,9106,-5314,-6903,1.0,0.7,1.0
21,9,002070,남영비비안,20190726,20180629,7850,8200,7050,7280,54,52.08,2.94,0.78,8523,-1613,-6923,1.0,0.7,1.0
22,9,002070,남영비비안,20190726,20180731,7360,7440,6730,6880,61,31.65,2.94,0.89,-1,-1726,1882,1.0,0.7,1.0
23,9,002070,남영비비안,20190726,20180831,6980,7240,6820,7010,59,76.43,2.94,0.86,0,183,76,1.0,0.7,1.0
24,9,002070,남영비비안,20190726,20180928,6940,7250,6810,6860,27,51.82,2.94,0.39,0,291,-433,1.0,0.7,1.0
25,9,002070,남영비비안,20190726,20181031,6860,6970,5820,5940,65,37.75,2.94,0.95,-13,172,-348,1.0,0.7,1.0
26,9,002070,남영비비안,20190726,20181130,5810,6390,5810,6090,60,43.58,2.94,0.87,0,1999,-2044,1.0,0.7,1.0
27,9,002070,남영비비안,20190726,20181228,6100,6380,6010,6160,20,111.44,2.94,0.28,0,448,-450,1.0,0.7,1.0
28,9,002070,남영비비안,20190726,20190131,6160,6600,5940,6560,35,112.79,2.94,0.51,-9,-56,-1821,1.0,0.7,1.0
29,9,002070,남영비비안,20190726,20190228,6560,6800,6320,6420,20,60.77,2.94,0.29,0,58,46,1.0,0.7,1.0
