,shcode,target_day,upcode,upname,tmcode,tmname,shname,target_m,next_target_day,y,init_jupo,end_jupo,init_month,end_month,init_week,end_week,check_init_day2,max_vol,max_jupo,contin_jupo,samo_vol_ratio,sec_vol_ratio,ins_vol_ratio,tusin_vol_ratio,bank_vol_ratio,jong_vol_ratio,fund_vol_ratio,etcom_vol_ratio,for_reg_vol_ratio,for_noreg_vol_ratio,nat_no_vol_ratio,per_vol_ratio,com_vol_ratio,for_vol_ratio,etc_vol_ratio,obv,date,open_,low,high,close,volume,range_position,month_ma5_score,week_ma5_score,week_ma20_score,week_golden_cross,week_dead_cross,week_up,week_down
30,000990,20190419,3.0,중   형  주,332.0,스마트카(SMART CAR),DB하이텍,201904,20190422,0,20180501,20190419,20180430,20190331,20180921,20190412,20190409,0.11585209126331675,for_reg_vol,0,0.007990630419604045,-0.00017423815851708372,0.002973783193315165,-0.01429845266785288,7.272686321764004e-05,-0.00022020766233473728,-0.015567715489087593,-0.0008770242573030924,0.11585209126331675,-7.62404558661231e-05,-0.003578481497331021,-0.09209687155116106,-0.022801954998986462,0.11577585080745062,-0.004455505754634113,-5186919.0,20190419,13800,13700,15650,14800,2393462,0.5641025641025641,0.3,0.5,1.0,0,0,5,0
31,001045,20190422,21.0,금   융  업,,,CJ우,201904,20190313,0,20180501,20190422,20180430,20190331,20180928,20190419,20190412,0.09026194690265486,per_vol,1,-0.016763716814159293,-0.0016668141592920355,-0.010544247787610619,-0.0652862831858407,-0.0039929203539823006,-0.0002088495575221239,-0.015119026548672566,0.010456194690265487,0.016879646017699115,0.00031504424778761064,-0.004330973451327434,0.09026194690265486,-0.11791283185840708,0.017194690265486725,0.0061252212389380535,769797.0,20190422,63300,61600,76600,67500,467672,0.3933333333333333,0.3,1.0,1.0,0,0,5,0
32,001140,20190313,4.0,소   형  주,141.0,종합물류관련주,카리스국보,201903,20190318,1,20180401,20190313,20180331,20190228,20180817,20190308,20190303,0.004010764801602203,per_vol,1,-0.0040414736929945344,0.00011236283222764634,-3.546543163516502e-06,-2.8372345308132014e-06,0.0,0.0,0.0,0.0002068260524888388,-0.00032277715191721953,4.0680936287395166e-05,0.0,0.004010764801602203,-0.003935494638461217,-0.00028209621562982434,0.0002068260524888388,3611916.0,20190313,30150,26200,30150,27300,1303767,0.27848101265822783,0.0,0.6,0.5,0,0,5,0
33,001140,20190318,4.0,소   형  주,141.0,종합물류관련주,카리스국보,201903,20190619,0,20180401,20190318,20180331,20190228,20180824,20190315,20190308,0.0035621479534359746,per_vol,1,-0.0040414736929945344,0.00011265490048817123,-3.546543163516502e-06,-2.8372345308132014e-06,0.0,0.0,0.0,0.0004783243626653315,-0.00017482371594275463,6.955397004214127e-05,0.0,0.0035621479534359746,-0.003935202570200693,-0.00010526974590061334,0.0004783243626653315,3819807.0,20190318,23200,22700,29700,29700,1060965,1.0,0.0,0.6499999999999999,0.7,0,0,5,0
34,001140,20190619,4.0,소   형  주,141.0,종합물류관련주,카리스국보,201906,20191105,0,20180701,20190619,20180630,20190531,20181123,20190614,20190609,0.004423665873909959,etcom_vol,1,-4.531230441857554e-05,1.7983060040889558e-05,1.7524095631493302e-06,-8.344807443568239e-08,0.0,0.0,0.0,0.004423665873909959,0.0007873325823006634,-0.0002873951683564902,0.0,-0.00489794300496516,-2.5660282888972337e-05,0.0004999374139441732,0.004423665873909959,20310789.0,20190619,2800,2670,3535,3535,10682501,1.0,0.4,0.5,0.0,0,0,0,5
35,001140,20191105,4.0,소   형  주,141.0,종합물류관련주,카리스국보,201911,20191105,0,20181201,20191105,20181130,20191031,20190412,20191101,20191026,0.10326578211707765,per_vol,1,0.012742395794217048,-0.004503942921517086,6.258605582676179e-07,-0.008327450244085618,0.0,-0.04725668627696416,0.0013161430299995828,-0.05421517085993241,-0.00280923770184003,-0.0002124587975132474,0.0,0.10326578211707765,-0.046028914757791965,-0.0030216964993532774,-0.05421517085993241,69315343.0,20191105,3680,3670,4580,4005,10395018,0.36813186813186816,0.3,0.15,1.0,0,1,2,3
36,001210,20191105,4.0,소   형  주,33.0,LED,금호전기,201911,20191107,1,20181201,20191105,20181130,20191031,20190412,20191101,20191026,0.20781372647680385,per_vol,1,-0.0002465532856999094,0.0005757270806078293,0.0014004226627754857,-0.01059132534970313,-0.17717127905806582,1.0063399416322834e-07,0.0,-0.01671852671832545,-0.00594263862332696,0.0008803461809399215,0.0,0.20781372647680385,-0.18603290731609137,-0.005062292442387038,-0.01671852671832545,10628328.0,20191105,3190,3185,3815,3400,11673447,0.3412698412698413,0.0,0.6,0.0,0,0,0,5
37,001210,20191107,4.0,소   형  주,33.0,LED,금호전기,201911,20190604,0,20181201,20191107,20181130,20191031,20190412,20191101,20191028,0.20775878031599074,per_vol,1,-0.0002465532856999094,0.0005727080607829325,0.0014004226627754857,-0.009081815437254705,-0.17717127905806582,1.0063399416322834e-07,0.0,-0.01671852671832545,-0.0064601992553084435,-5.3637918889000705e-05,0.0,0.20775878031599074,-0.18452641642346784,-0.0065138371741974435,-0.01671852671832545,19837316.0,20191107,3190,3060,4020,3560,11940970,0.5208333333333334,0.0,0.6,0.0,0,0,0,5
38,001340,20190604,4.0,소   형  주,,,백광산업,201906,20190917,0,20180701,20190604,20180630,20190531,20181109,20190531,20190525,0.025213322053519747,per_vol,1,-0.006410214168039539,-0.003545883610134022,0.0006330201700877154,-0.013434235718420232,-0.0016464446324413375,-5.053653323834543e-05,0.009286299479050715,6.496282114074536e-05,-0.010373502827374327,0.0002632129658488802,0.0,0.025213322053519747,-0.015167995013135045,-0.010110289861525446,6.496282114074536e-05,28151296.0,20190604,3010,3005,3340,3045,15783253,0.11940298507462686,0.7,0.3,1.0,0,0,5,0
39,001340,20190917,4.0,소   형  주,,,백광산업,201909,20190424,0,20181001,20190917,20180930,20190831,20190222,20190913,20190907,0.02498479451444855,per_vol,1,-0.00888726123157754,-0.00424698339195868,0.0011009617525268266,-0.005802907520370453,-0.0010140923460528074,-0.0005106638763969901,0.009284273565163186,-0.004380671445745581,-0.011046173026403669,0.0005187230063671579,0.0,0.02498479451444855,-0.01007667304866646,-0.010527450020036511,-0.004380671445745581,43892573.0,20190917,2895,2710,3125,3055,13415831,0.8313253012048193,0.5,0.0,0.0,0,0,0,5
40,001360,20190424,4.0,소   형  주,172.0,제약업체,삼성제약,201904,20190828,0,20180501,20190424,20180430,20190331,20180928,20190419,20190414,0.0125506492185646,per_vol,1,-0.0018231176051801878,-0.012503983455944672,2.6121300471234363e-05,-0.0009548089636234194,-0.0002371258094043462,-0.00026107739770146114,0.0002519069735905346,0.00018135742617893344,0.0026596772553140998,9.285690070176628e-05,1.7544157032918604e-05,0.0125506492185646,-0.0154845408007594,0.002752534156015866,0.00019890158321185205,22979067.0,20190424,2900,2880,3470,3150,14966828,0.4576271186440678,0.0,0.3,0.3,0,1,2,3
41,001360,20190828,4.0,소   형  주,172.0,제약업체,삼성제약,201908,20191016,0,20180901,20190828,20180831,20190731,20190201,20190823,20190818,0.027723683764450623,per_vol,1,-0.0009478252025629725,0.0007923517645862291,2.6121300471234363e-05,0.00011138420856358273,8.475438180153914e-06,1.695087636030783e-08,0.0010739397226836628,-0.005924178730040343,-0.021736735939248058,-0.0011447774349933892,1.7544157032918604e-05,0.027723683764450623,0.0010820083398311693,-0.02288151337424145,-0.0059066345730074245,68005489.0,20190828,2645,2580,3140,3010,21889792,0.7678571428571429,0.35,0.0,0.0,0,0,0,5
42,001360,20191016,4.0,소   형  주,172.0,제약업체,삼성제약,201910,20191031,1,20181101,20191016,20181031,20190930,20190322,20191011,20191006,0.02634144150252568,per_vol,1,-0.0015777706207410922,0.0001232328711394379,1.2391090619385023e-05,6.975285622266671e-05,8.475438180153914e-06,1.695087636030783e-08,0.0011356070108824625,-0.0040973827846899685,-0.021042767061057056,-0.0009905414109909483,1.7544157032918604e-05,0.02634144150252568,-0.00021075024578770722,-0.022033308472048006,-0.00407983862765705,123759950.0,20191016,2970,2935,3770,3460,44665020,0.6287425149700598,0.35,0.5,0.6499999999999999,1,0,5,0
43,001360,20191031,4.0,소   형  주,172.0,제약업체,삼성제약,201910,20191101,1,20181101,20191031,20181031,20190930,20190405,20191025,20191021,0.04367133945824999,per_vol,1,-0.0019222124283825473,0.0005040851612028342,1.2391090619385023e-05,6.829508085568023e-05,8.475438180153914e-06,1.695087636030783e-08,0.00101927314642167,-0.005965216801708648,-0.036511797809946775,-0.0009021934434010238,1.7544157032918604e-05,0.04367133945824999,-0.0002921314031935451,-0.037413991253347795,-0.00594767264467573,187357835.0,20191031,3375,3330,4290,4000,47080788,0.6979166666666666,0.35,0.6499999999999999,0.8500000000000001,0,0,5,0
