,shcode,date,max_vol,max_jupo,contin_jupo,samo_vol_ratio,sec_vol_ratio,ins_vol_ratio,tusin_vol_ratio,bank_vol_ratio,jong_vol_ratio,fund_vol_ratio,etcom_vol_ratio,for_reg_vol_ratio,for_noreg_vol_ratio,nat_no_vol_ratio,per_vol_ratio,com_vol_ratio,for_vol_ratio,etc_vol_ratio
229,035810,20190313,0.04098401436290504,for_reg_vol,1,-0.02693143093894039,-0.004203980872477428,0.0025170127919622973,-0.02492190170386866,0.0002907452483297944,-0.0010811020767517738,-0.0097494432647988,0.008858943152588603,0.04098401436290504,-0.0008690765964058211,-0.004992853073696204,0.020099072971153348,-0.06907295389024116,0.040114937766499215,0.003866090078892399
234,035810,20190418,0.015148203773715193,for_reg_vol,0,-0.019671828335663853,0.0002623647003987778,0.002726983962573584,-0.004492913494570753,0.0006514406062803184,-0.0006048647435565453,-0.008629792670084763,0.013662506257876293,0.015148203773715193,-0.00015643827576087145,-0.004855128005938509,0.005959466224731127,-0.03461373798056174,0.014991765497954323,0.008807378251937784
236,035810,20190917,0.04431645001467364,per_vol,0,-0.004993733492153918,0.011725395756728296,-0.0015394375679734838,-0.014914064253284306,0.002444835741536762,-1.4759956496970324e-05,-0.0042153917862136825,0.013181797779964439,-0.041484247414849726,-0.0003001018523313826,-0.004206742969599668,0.04431645001467364,-0.01571389852745697,-0.04178434926718111,0.00897505481036477
229,035890,20190313,0.11004454295662083,per_vol,1,0.0001021967249530377,0.003765159526948392,0.0005870504778323458,-0.008611837879863435,0.0,-0.00014747852289683747,0.001562282391914275,-0.01874433192808611,-0.08861573007663667,-0.00028715816516242435,0.00034530449437659657,0.11004454295662083,-0.0023973227867356253,-0.08890288824179911,-0.018399027433709515
224,036030,20190802,0.003572644547109058,per_vol,0,-0.0003244295114097718,-0.0026208315833683325,-0.0004892622147557049,-0.0008999860002799944,0.0,0.0,0.0,0.0006286994260114798,0.00012930141397172058,3.863922721545569e-06,0.0,0.003572644547109058,-0.004334509309813803,0.00013316533669326613,0.0006286994260114798
223,036090,20190103,0.007082721128416103,for_vol,1,-0.00042962092271525123,-0.0011970721021558517,0.0,0.0,0.0,0.0,0.0,-0.001132329762509016,0.00693628616461411,0.0001464349638019929,0.0,-0.004323698341035984,-0.001626693024871103,0.007082721128416103,-0.001132329762509016
229,036090,20190513,0.0058933694868164455,for_reg_vol,1,0.0,-0.001648812545080544,0.0,0.0,0.0,0.0,0.0,0.0007512488980311489,0.0058933694868164455,-0.0005084417492586755,0.0,-0.004487364090508375,-0.001648812545080544,0.0053849277375577695,0.0007512488980311489
222,036120,20190402,0.0067629577464788735,for_reg_vol,1,-0.002898169014084507,5.642253521126761e-05,0.0,0.002898169014084507,0.0,0.0,-0.00028169014084507044,-0.0029904225352112676,0.0067629577464788735,-0.0002963943661971831,0.0,-0.00325087323943662,-0.00022526760563380282,0.0064665633802816905,-0.0029904225352112676
229,036120,20190513,0.007203802816901408,for_reg_vol,1,0.0,8.174647887323944e-05,0.0,0.0,0.0,0.0,-0.00028169014084507044,-0.003078450704225352,0.007203802816901408,-0.00040140845070422537,0.0,-0.003524,-0.00019994366197183098,0.0068023943661971835,-0.003078450704225352
230,036120,20190514,0.027162338028169013,for_reg_vol,1,0.0,5.63943661971831e-05,0.0,0.0,0.0,0.0,-0.00028169014084507044,-0.0032363098591549296,0.027162338028169013,-9.814084507042254e-05,0.0,-0.023602591549295775,-0.00022529577464788732,0.02706419718309859,-0.0032363098591549296
